,Title,Release date,Year,Month,Season,runTime,Genre,MPAA_Rating,is_original,is_franchise,averageRating,numVotes,total_weeks,performance
269,The Unforgivable,12/10/2021,2021,12,Winter,114,Drama,R,0,0,7.2,127401,5,Streaming-hit
270,The Hand of God,12/15/2021,2021,12,Winter,130,Drama,R,0,0,7.3,53929,3,Streaming-flop
271,A California Christmas: City Lights,12/16/2021,2021,12,Winter,90,Romantic comedy,,0,0,,,2,Streaming-flop
272,A Naija Christmas,12/16/2021,2021,12,Winter,121,Romantic comedy,Not Rated,0,0,5,499,0,Streaming-flop
273,Grumpy Christmas,12/21/2021,2021,12,Winter,87,Comedy,Not Rated,0,0,4.5,492,1,Streaming-flop
274,1000 Miles from Christmas,12/24/2021,2021,12,Winter,102,Christmas film,Not Rated,0,0,5.9,2321,2,Streaming-flop
275,Don't Look Up,12/24/2021,2021,12,Winter,138,Science fiction comedy,R,0,0,7.1,665319,8,Streaming-hit
276,Minnal Murali,12/24/2021,2021,12,Winter,159,Superhero,,0,0,,,4,Streaming-hit
277,Lulli,12/26/2021,2021,12,Winter,90,Comedy,Not Rated,0,0,4.9,2064,3,Streaming-flop
278,Four to Dinner,1/5/2022,2022,1,Winter,90,Romantic comedy,,0,0,,,2,Streaming-flop
279,The Wasteland,1/6/2022,2022,1,Winter,92,Horror,,0,0,,,2,Streaming-flop
280,How I Fell in Love with a Gangster,1/12/2022,2022,1,Winter,179,Drama,NR,0,0,6.1,3236,5,Streaming-hit
281,Brazen,1/13/2022,2022,1,Winter,96,Romantic thriller,Not Rated,0,0,4.2,14723,3,Streaming-flop
282,Photocopier,1/13/2022,2022,1,Winter,130,Coming-of-age drama,,0,0,,,3,Streaming-flop
283,This Is Not a Comedy,1/14/2022,2022,1,Winter,105,Comedy drama,,0,0,,,0,Streaming-flop
284,The Royal Treatment,1/20/2022,2022,1,Winter,97,Romance,Not Rated,0,0,5.3,12642,3,Streaming-flop
285,Amandla,1/21/2022,2022,1,Winter,106,Drama,Not Rated,0,0,5.6,485,3,Streaming-flop
286,Munich – The Edge of War,1/21/2022,2022,1,Winter,131,Historical drama / thriller,,0,0,,,2,Streaming-flop
287,My Father's Violin,1/21/2022,2022,1,Winter,112,Drama,Not Rated,0,0,6.5,4441,3,Streaming-flop
288,Home Team,1/28/2022,2022,1,Winter,97,Sports comedy,PG,0,0,6,24119,3,Streaming-flop
289,Looop Lapeta,2/4/2022,2022,2,Winter,131,Romantic thriller,R,1,1,5.2,5356,2,Streaming-flop
290,Through My Window,2/4/2022,2022,2,Winter,113,Drama,R,0,0,5.5,24816,18,Streaming-hit
291,The Privilege,2/9/2022,2022,2,Winter,107,Horror,R,0,0,4.7,6790,2,Streaming-flop
292,Into the Wind,2/10/2022,2022,2,Winter,108,Romantic drama,Not Rated,0,0,5.3,1370,2,Streaming-flop
293,Bigbug,2/11/2022,2022,2,Winter,111,Science fiction comedy,,0,0,,,2,Streaming-flop
294,Love and Leashes,2/11/2022,2022,2,Winter,118,Romantic comedy,R,0,0,6.3,7909,2,Streaming-flop
295,Love Tactics,2/11/2022,2022,2,Winter,98,Romantic comedy,Not Rated,0,0,5.4,7080,5,Streaming-hit
296,Tall Girl 2,2/11/2022,2022,2,Winter,101,Teen romantic comedy,Not Rated,0,1,4.7,7612,3,Streaming-flop
297,Fistful of Vengeance,2/17/2022,2022,2,Winter,96,Supernatural martial arts drama,R,0,0,4.5,8083,2,Streaming-flop
298,Texas Chainsaw Massacre,2/18/2022,2022,2,Winter,83,Slasher,R,1,1,4.7,69641,2,Streaming-flop
