Title,Release date,Year,Month,Season,runTime,Genre,MPAA_Rating,is_original,is_franchise,averageRating,numVotes,performance,Original,Franchise
Feel the Beat,6/19/2020,2020,6,Summer,109,Family / Comedy drama,G,0,0,6.3,15070,Streaming-flop,Non-Original,Non-Francise
Lost Bullet,6/19/2020,2020,6,Summer,93,Action,Not Rated,0,0,6.4,16640,Streaming-hit,Non-Original,Non-Francise
One-Way to Tomorrow,6/19/2020,2020,6,Summer,90,Romantic drama,Not Rated,0,0,5.6,5775,Streaming-flop,Non-Original,Non-Francise
Bulbbul,6/24/2020,2020,6,Summer,94,Horror,Not Rated,0,0,6.6,16354,Streaming-flop,Non-Original,Non-Francise
Nobody Knows I'm Here,6/24/2020,2020,6,Summer,91,Drama,Not Rated,0,0,6.5,5237,Streaming-flop,Non-Original,Non-Francise
Eurovision Song Contest: The Story of Fire Saga,6/26/2020,2020,6,Summer,123,Musical comedy,PG-13,0,0,6.5,108838,Streaming-flop,Non-Original,Non-Francise
Under the Riccione Sun,7/1/2020,2020,7,Summer,102,Romantic teenage drama,Not Rated,0,0,5.6,3494,Streaming-flop,Non-Original,Non-Francise
Desperados,7/3/2020,2020,7,Summer,106,Romantic comedy,Not Rated,0,0,5.2,11605,Streaming-flop,Non-Original,Non-Francise
The Old Guard,7/10/2020,2020,7,Summer,125,Superhero,R,0,0,6.7,208995,Streaming-flop,Non-Original,Non-Francise
The Players,7/15/2020,2020,7,Summer,88,Comedy,R,0,0,4.8,1989,Streaming-flop,Non-Original,Non-Francise
Fatal Affair,7/16/2020,2020,7,Summer,89,Psychological thriller,Not Rated,0,0,4.6,7288,Streaming-flop,Non-Original,Non-Francise
Offering to the Storm,7/24/2020,2020,7,Summer,139,Crime thriller,R,0,0,6.2,8364,Streaming-flop,Non-Original,Non-Francise
The Kissing Booth 2,7/24/2020,2020,7,Summer,132,Teen romantic comedy,PG-13,0,0,5.7,43374,Streaming-flop,Non-Original,Non-Francise
Seriously Single,7/31/2020,2020,7,Summer,107,Comedy,Not Rated,0,0,4.6,1398,Streaming-flop,Non-Original,Non-Francise
Raat Akeli Hai,7/31/2020,2020,7,Summer,149,Thriller,Not Rated,0,0,7.2,22543,Streaming-flop,Non-Original,Non-Francise
Work It,8/7/2020,2020,8,Summer,93,Dance comedy,PG-13,0,0,6.1,17760,Streaming-flop,Non-Original,Non-Francise
Gunjan Saxena: The Kargil Girl,8/12/2020,2020,8,Summer,112,Biographical drama,Not Rated,0,0,5.6,36226,Streaming-flop,Non-Original,Non-Francise
Project Power,8/14/2020,2020,8,Summer,113,Superhero,R,0,0,6,103227,Streaming-flop,Non-Original,Non-Francise
Fearless,8/14/2020,2020,8,Summer,91,Animation / Superhero,PG,0,0,5,2100,Streaming-flop,Non-Original,Non-Francise
Crazy Awesome Teachers,8/17/2020,2020,8,Summer,101,Comedy drama,Not Rated,0,0,6.2,611,Streaming-flop,Non-Original,Non-Francise
The Crimes That Bind,8/20/2020,2020,8,Summer,99,Crime drama,Not Rated,0,0,6.7,4872,Streaming-flop,Non-Original,Non-Francise
The Sleepover,8/21/2020,2020,8,Summer,103,Action comedy,PG-13,0,0,5.7,13288,Streaming-flop,Non-Original,Non-Francise
Class of '83,8/21/2020,2020,8,Summer,98,Crime / Drama,Not Rated,0,0,5.8,6214,Streaming-flop,Non-Original,Non-Francise
Dark Forces,8/21/2020,2020,8,Summer,81,Thriller,Not Rated,0,0,2.8,765,Streaming-flop,Non-Original,Non-Francise
All Together Now,8/28/2020,2020,8,Summer,93,Drama,PG,0,0,6.5,5443,Streaming-flop,Non-Original,Non-Francise
Unknown Origins,8/28/2020,2020,8,Summer,96,Thriller,Not Rated,0,0,6.1,8022,Streaming-flop,Non-Original,Non-Francise
"Love, Guaranteed",9/3/2020,2020,9,Fall/Autumn,91,Romantic comedy,PG,0,0,5.6,20295,Streaming-flop,Non-Original,Non-Francise
I'm Thinking of Ending Things,9/4/2020,2020,9,Fall/Autumn,134,Psychological thriller,R,0,0,6.5,109074,Streaming-flop,Non-Original,Non-Francise
The Babysitter: Killer Queen,9/10/2020,2020,9,Fall/Autumn,102,Comedy / Horror,R,0,1,5.8,59268,Streaming-flop,Non-Original,Francise
Dad Wanted,9/11/2020,2020,9,Fall/Autumn,103,Family,Not Rated,0,0,5.8,1261,Streaming-flop,Non-Original,Non-Francise
The Devil All The Time,9/16/2020,2020,9,Fall/Autumn,138,Psychological thriller,R,0,0,7.1,167814,Streaming-flop,Non-Original,Non-Francise
The Paramedic,9/16/2020,2020,9,Fall/Autumn,94,Thriller,Not Rated,0,0,5.7,16148,Streaming-flop,Non-Original,Non-Francise
Whipped,9/18/2020,2020,9,Fall/Autumn,97,Romantic comedy,Not Rated,0,0,4.2,702,Streaming-flop,Non-Original,Non-Francise
The Boys in the Band,9/30/2020,2020,9,Fall/Autumn,122,Drama,R,0,0,6.8,19396,Streaming-flop,Non-Original,Non-Francise
All Because of You,10/1/2020,2020,10,Fall/Autumn,101,Action comedy,Not Rated,0,0,4.1,297,Streaming-flop,Non-Original,Non-Francise
Serious Men,10/2/2020,2020,10,Fall/Autumn,114,Comedy drama,Not Rated,0,0,6.8,8637,Streaming-flop,Non-Original,Non-Francise
The Binding,10/2/2020,2020,10,Fall/Autumn,93,Horror,Not Rated,0,0,4.8,5192,Streaming-flop,Non-Original,Non-Francise
Vampires vs. the Bronx,10/2/2020,2020,10,Fall/Autumn,85,Horror comedy,PG-13,0,0,5.7,11946,Streaming-flop,Non-Original,Non-Francise
